               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  77,             0.02181,            0.012231,                   0,             0.99316,                   1,               0.995,             0.64638,            0.018353,           0.0038727,                   0,            0.002476,            0.002476,            0.002476
                  78,            0.039429,            0.013621,                   0,             0.99392,                   1,               0.995,             0.64426,            0.015498,           0.0038871,                   0,            0.002377,            0.002377,            0.002377
                  79,            0.020614,            0.012317,                   0,             0.99452,                   1,               0.995,             0.70968,            0.014153,             0.00395,                   0,            0.002278,            0.002278,            0.002278
                  80,            0.021228,            0.013698,                   0,             0.99452,                   1,               0.995,             0.70968,            0.014153,             0.00395,                   0,            0.002179,            0.002179,            0.002179
                  81,              0.0198,            0.011738,                   0,             0.99489,                   1,               0.995,             0.71072,            0.013477,           0.0039555,                   0,             0.00208,             0.00208,             0.00208
                  82,            0.038498,            0.015145,                   0,             0.99495,                   1,               0.995,             0.71495,            0.013169,           0.0039262,                   0,            0.001981,            0.001981,            0.001981
                  83,            0.037223,             0.01406,                   0,             0.99507,                   1,               0.995,             0.71132,            0.012951,            0.003901,                   0,            0.001882,            0.001882,            0.001882
                  84,            0.018855,            0.012584,                   0,             0.99507,                   1,               0.995,             0.71132,            0.012951,            0.003901,                   0,            0.001783,            0.001783,            0.001783
                  85,             0.02768,            0.014762,                   0,              0.9945,                   1,               0.995,             0.70993,            0.012634,            0.003852,                   0,            0.001684,            0.001684,            0.001684
                  86,            0.020267,            0.014687,                   0,             0.99507,                   1,               0.995,             0.71566,            0.012992,           0.0038491,                   0,            0.001585,            0.001585,            0.001585
                  87,            0.026308,            0.014201,                   0,             0.99559,                   1,               0.995,             0.68572,            0.012277,           0.0038275,                   0,            0.001486,            0.001486,            0.001486
                  88,            0.017235,            0.012607,                   0,             0.99559,                   1,               0.995,             0.68572,            0.012277,           0.0038275,                   0,            0.001387,            0.001387,            0.001387
                  89,            0.020792,            0.010599,                   0,             0.99629,                   1,               0.995,             0.69014,            0.011971,           0.0038401,                   0,            0.001288,            0.001288,            0.001288
                  90,            0.019506,            0.014262,                   0,             0.99618,                   1,               0.995,             0.69379,            0.012804,           0.0038461,                   0,            0.001189,            0.001189,            0.001189
                  91,             0.02169,             0.01458,                   0,             0.99696,                   1,               0.995,             0.69491,            0.012516,           0.0038373,                   0,             0.00109,             0.00109,             0.00109
                  92,            0.019588,            0.014266,                   0,             0.99696,                   1,               0.995,             0.69491,            0.012516,           0.0038373,                   0,            0.000991,            0.000991,            0.000991
                  93,            0.018615,            0.012654,                   0,                   1,             0.99224,               0.995,             0.68075,            0.013609,           0.0038206,                   0,            0.000892,            0.000892,            0.000892
                  94,            0.021107,            0.015363,                   0,                   1,             0.99154,               0.995,             0.67923,            0.012625,           0.0038242,                   0,            0.000793,            0.000793,            0.000793
                  95,            0.023613,             0.01467,                   0,                   1,             0.99966,               0.995,             0.68284,            0.012371,           0.0038272,                   0,            0.000694,            0.000694,            0.000694
                  96,            0.027866,            0.015022,                   0,                   1,             0.99966,               0.995,             0.68284,            0.012371,           0.0038272,                   0,            0.000595,            0.000595,            0.000595
                  97,              0.0245,            0.013507,                   0,                   1,             0.98929,               0.995,             0.67883,            0.012558,           0.0038192,                   0,            0.000496,            0.000496,            0.000496
                  98,            0.022814,            0.014334,                   0,                   1,             0.99025,               0.995,             0.68199,            0.012594,           0.0038219,                   0,            0.000397,            0.000397,            0.000397
                  99,            0.017965,            0.013413,                   0,                   1,             0.99975,               0.995,             0.68428,            0.012455,           0.0038141,                   0,            0.000298,            0.000298,            0.000298
